TIGRFAM	link	mainrole	subrole	Name	Function	Isology_Type	EC_Number
TIGR00425	168	Protein synthesis	tRNA and rRNA base modification	CBF5	putative rRNA pseudouridine synthase	hypoth_equivalog	5.4.99.-
TIGR00426	98	Cellular processes	DNA transformation	TIGR00426	competence protein ComEA helix-hairpin-helix repeat region	subfamily_domain	
TIGR00427	157	Unknown function	General	TIGR00427	"_membrane protein, MarC family_"	hypoth_equivalog	
TIGR00430	168	Protein synthesis	tRNA and rRNA base modification	Q_tRNA_tgt	tRNA-guanine transglycosylase	equivalog	2.4.2.29
TIGR00431	168	Protein synthesis	tRNA and rRNA base modification	TruB	tRNA pseudouridine(55) synthase	equivalog	5.4.99.25
TIGR00432	168	Protein synthesis	tRNA and rRNA base modification	arcsn_tRNA_tgt	tRNA-guanine(15) transglycosylase	equivalog	2.4.2.48
TIGR00433	77	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Biotin	bioB	biotin synthase	equivalog	2.8.1.6
TIGR00434	106	Central intermediary metabolism	Sulfur metabolism	cysH	phosophoadenylyl-sulfate reductase	subfamily	1.8.4.8
TIGR00435	137	Protein synthesis	tRNA aminoacylation	cysS	cysteine--tRNA ligase	equivalog	6.1.1.16
TIGR00436	136	Protein synthesis	Other	era	GTP-binding protein Era	equivalog	
TIGR00437	145	Transport and binding proteins	Cations and iron carrying compounds	feoB	ferrous iron transport protein B	equivalog	
TIGR00438	168	Protein synthesis	tRNA and rRNA base modification	rrmJ	ribosomal RNA large subunit methyltransferase J	equivalog	2.1.1.166
TIGR00439	93	Cellular processes	Cell division	ftsX	putative protein insertion permease FtsX	equivalog	
TIGR00440	137	Protein synthesis	tRNA aminoacylation	glnS	glutamine--tRNA ligase	equivalog	6.1.1.18
TIGR00441	90	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	gmhA	phosphoheptose isomerase	equivalog	5.3.1.28
TIGR00442	137	Protein synthesis	tRNA aminoacylation	hisS	histidine--tRNA ligase	equivalog	6.1.1.21
TIGR00443	161	Amino acid biosynthesis	Histidine family	hisZ_biosyn_reg	"_ATP phosphoribosyltransferase, regulatory subunit_"	equivalog	
TIGR00444	157	Unknown function	General	mazG	MazG family protein	subfamily	
TIGR00445	89	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase	equivalog	2.7.8.13
TIGR00446	168	Protein synthesis	tRNA and rRNA base modification	nop2p	NOL1/NOP2/sun family putative RNA methylase	subfamily_domain	2.1.1.-
TIGR00447	136	Protein synthesis	Other	pth	aminoacyl-tRNA hydrolase	equivalog	3.1.1.29
TIGR00448	135	Transcription	DNA-dependent RNA polymerase	rpoE	DNA-directed RNA polymerase	equivalog	2.7.7.6
TIGR00449	168	Protein synthesis	tRNA and rRNA base modification	tgt_general	tRNA-guanine family transglycosylase	superfamily	2.4.2.-
TIGR00450	168	Protein synthesis	tRNA and rRNA base modification	mnmE_trmE_thdF	tRNA modification GTPase TrmE	equivalog	3.6.-.-
TIGR00452	703	Unknown function	Enzymes of unknown specificity	TIGR00452	tRNA (mo5U34)-methyltransferase	equivalog	2.1.1.-
TIGR00453	76	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	equivalog_domain	2.7.7.60
TIGR00454	156	Hypothetical proteins	Conserved	TIGR00454	TIGR00454 family protein	hypoth_equivalog	
TIGR00455	106	Central intermediary metabolism	Sulfur metabolism	apsK	adenylyl-sulfate kinase	equivalog_domain	2.7.1.25
TIGR00456	137	Protein synthesis	tRNA aminoacylation	argS	arginine--tRNA ligase	equivalog	6.1.1.19
TIGR00457	137	Protein synthesis	tRNA aminoacylation	asnS	asparagine--tRNA ligase	equivalog	6.1.1.22
TIGR00458	137	Protein synthesis	tRNA aminoacylation	aspS_nondisc	aspartate--tRNA(Asn) ligase	equivalog	6.1.1.23
TIGR00459	137	Protein synthesis	tRNA aminoacylation	aspS_bact	aspartate--tRNA ligase	equivalog	6.1.1.-
TIGR00460	137	Protein synthesis	tRNA aminoacylation	fmt	methionyl-tRNA formyltransferase	equivalog	2.1.2.9
TIGR00461	109	Energy metabolism	Amino acids and amines	gcvP	glycine dehydrogenase	equivalog	1.4.4.2
TIGR00462	157	Unknown function	General	genX	EF-P lysine aminoacylase GenX	equivalog	
TIGR00463	137	Protein synthesis	tRNA aminoacylation	gltX_arch	glutamate--tRNA ligase	equivalog	6.1.1.17
TIGR00464	137	Protein synthesis	tRNA aminoacylation	gltX_bact	glutamate--tRNA ligase	equivalog	6.1.1.17
TIGR00465	74	Amino acid biosynthesis	Pyruvate family	ilvC	ketol-acid reductoisomerase	equivalog	1.1.1.86
TIGR00466	90	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	kdsB	3-deoxy-D-manno-octulosonate cytidylyltransferase	equivalog	2.7.7.38
TIGR00467	137	Protein synthesis	tRNA aminoacylation	lysS_arch	lysine--tRNA ligase	equivalog	6.1.1.6
TIGR00468	137	Protein synthesis	tRNA aminoacylation	pheS	"_phenylalanine--tRNA ligase, alpha subunit_"	equivalog	6.1.1.20
TIGR00469	137	Protein synthesis	tRNA aminoacylation	pheS_mito	phenylalanine--tRNA ligase	equivalog	6.1.1.20
TIGR00470	75	Amino acid biosynthesis	Serine family	sepS	O-phosphoserine--tRNA ligase	equivalog	6.1.1.27
TIGR00471	137	Protein synthesis	tRNA aminoacylation	pheT_arch	"_phenylalanine--tRNA ligase, beta subunit_"	equivalog	6.1.1.20
TIGR00472	137	Protein synthesis	tRNA aminoacylation	pheT_bact	"_phenylalanine--tRNA ligase, beta subunit_"	equivalog	6.1.1.20
TIGR00473	176	Fatty acid and phospholipid metabolism	Biosynthesis	pssA	CDP-diacylglycerol-serine O-phosphatidyltransferase	equivalog	2.7.8.8
TIGR00474	137	Protein synthesis	tRNA aminoacylation	selA	L-seryl-tRNA(Sec) selenium transferase	equivalog	2.9.1.1
TIGR00475	169	Protein synthesis	Translation factors	selB	selenocysteine-specific translation elongation factor	equivalog	
TIGR00477	94	Cellular processes	Toxin production and resistance	tehB	tellurite resistance protein TehB	equivalog	
TIGR00478	157	Unknown function	General	tly	TlyA family rRNA methyltransferase/putative hemolysin	subfamily	
TIGR00479	168	Protein synthesis	tRNA and rRNA base modification	rumA	23S rRNA (uracil-5-)-methyltransferase RumA	equivalog	2.1.1.-
TIGR00481	157	Unknown function	General	TIGR00481	"_Raf kinase inhibitor-like protein, YbhB/YbcL family_"	hypoth_equivalog	
TIGR00482	163	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridine nucleotides	TIGR00482	nicotinate (nicotinamide) nucleotide adenylyltransferase	equivalog	2.7.7.18
TIGR00483	169	Protein synthesis	Translation factors	EF-1_alpha	"_translation elongation factor EF-1, subunit alpha_"	equivalog	
TIGR00484	169	Protein synthesis	Translation factors	EF-G	translation elongation factor G	equivalog	
TIGR00485	169	Protein synthesis	Translation factors	EF-Tu	translation elongation factor Tu	equivalog	
TIGR00486	157	Unknown function	General	YbgI_SA1388	"_dinuclear metal center protein, YbgI/SA1388 family_"	hypoth_equivalog	
TIGR00487	169	Protein synthesis	Translation factors	IF-2	translation initiation factor IF-2	equivalog	
TIGR00488	703	Unknown function	Enzymes of unknown specificity	TIGR00488	putative HD superfamily hydrolase	hypoth_equivalog	
TIGR00489	169	Protein synthesis	Translation factors	aEF-1_beta	translation elongation factor aEF-1 beta	equivalog	
TIGR00490	169	Protein synthesis	Translation factors	aEF-2	translation elongation factor aEF-2	equivalog	
TIGR00491	169	Protein synthesis	Translation factors	aIF-2	translation initiation factor aIF-2	equivalog	
TIGR00492	89	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	alr	alanine racemase	equivalog	5.1.1.1
TIGR00493	138	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	clpP	"_ATP-dependent Clp endopeptidase, proteolytic subunit ClpP_"	equivalog	3.4.21.92
TIGR00494	157	Unknown function	General	crcB	protein CrcB	hypoth_equivalog	
TIGR00495	157	Unknown function	General	crvDNA_42K	"_DNA-binding protein, 42 kDa_"	hypoth_equivalog	
TIGR00496	169	Protein synthesis	Translation factors	frr	ribosome recycling factor	equivalog	
TIGR00497	183	DNA metabolism	Restriction/modification	hsdM	"_type I restriction-modification system, M subunit_"	equivalog	2.1.1.72
TIGR00498	261	Regulatory functions	DNA interactions	lexA	repressor LexA	equivalog	3.4.21.88
TIGR00499	137	Protein synthesis	tRNA aminoacylation	lysS_bact	lysine--tRNA ligase	equivalog	6.1.1.6
TIGR00500	140	Protein fate	Protein modification and repair	met_pdase_I	"_methionine aminopeptidase, type I_"	equivalog	3.4.11.18
TIGR00501	140	Protein fate	Protein modification and repair	met_pdase_II	"_methionine aminopeptidase, type II_"	equivalog	3.4.11.18
TIGR00502	100	Central intermediary metabolism	Amino sugars	nagB	glucosamine-6-phosphate deaminase	equivalog	3.5.99.6
TIGR00503	169	Protein synthesis	Translation factors	prfC	peptide chain release factor 3	equivalog	
TIGR00504	138	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	pyro_pdase	pyroglutamyl-peptidase I	equivalog	3.4.19.3
TIGR00505	85	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Riboflavin, FMN, and FAD"	ribA	GTP cyclohydrolase II	equivalog_domain	3.5.4.25
TIGR00506	85	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Riboflavin, FMN, and FAD"	ribB	"_3,4-dihydroxy-2-butanone-4-phosphate synthase_"	equivalog_domain	4.1.99.12
TIGR00507	70	Amino acid biosynthesis	Aromatic amino acid family	aroE	shikimate dehydrogenase	equivalog_domain	1.1.1.25
TIGR00508	77	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Biotin	bioA	adenosylmethionine-8-amino-7-oxononanoate transaminase	equivalog	2.6.1.62
TIGR00510	80	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Lipoate	lipA	lipoyl synthase	equivalog	2.8.1.8
TIGR00511	184	Energy metabolism	Other	ribulose_e2b2	"_ribose-1,5-bisphosphate isomerase, e2b2 family_"	equivalog	5.3.1.-
TIGR00512	71	Amino acid biosynthesis	Aspartate family	salvage_mtnA	S-methyl-5-thioribose-1-phosphate isomerase	equivalog	5.3.1.23
TIGR00513	176	Fatty acid and phospholipid metabolism	Biosynthesis	accA	"_acetyl-CoA carboxylase, carboxyl transferase, alpha subunit_"	equivalog	6.4.1.2
TIGR00514	176	Fatty acid and phospholipid metabolism	Biosynthesis	accC	"_acetyl-CoA carboxylase, biotin carboxylase subunit_"	equivalog	6.3.4.14
TIGR00515	176	Fatty acid and phospholipid metabolism	Biosynthesis	accD	"_acetyl-CoA carboxylase, carboxyl transferase, beta subunit_"	equivalog	6.4.1.2
TIGR00516	176	Fatty acid and phospholipid metabolism	Biosynthesis	acpS	holo-[acyl-carrier-protein] synthase	equivalog_domain	2.7.8.7
TIGR00517	176	Fatty acid and phospholipid metabolism	Biosynthesis	acyl_carrier	acyl carrier protein	equivalog	
TIGR00518	109	Energy metabolism	Amino acids and amines	alaDH	alanine dehydrogenase	equivalog	1.4.1.1
TIGR00520	109	Energy metabolism	Amino acids and amines	asnASE_II	"_L-asparaginase, type II_"	subfamily	3.5.1.1
TIGR00521	83	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pantothenate and coenzyme A	coaBC_dfp	phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase	equivalog	4.1.1.36 6.3.2.5
TIGR00522	140	Protein fate	Protein modification and repair	dph5	diphthine synthase	equivalog	2.1.1.98
TIGR00523	169	Protein synthesis	Translation factors	eIF-1A	translation initiation factor eIF-1A	equivalog	
TIGR00524	157	Unknown function	General	eIF-2B_rel	eIF-2B alpha/beta/delta-related uncharacterized proteins	subfamily	
TIGR00525	78	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	folB	dihydroneopterin aldolase	equivalog	4.1.2.25
TIGR00527	109	Energy metabolism	Amino acids and amines	gcvH	glycine cleavage system H protein	equivalog	
TIGR00528	109	Energy metabolism	Amino acids and amines	gcvT	glycine cleavage system T protein	equivalog	2.1.2.10
TIGR00529	156	Hypothetical proteins	Conserved	AF0261	"_integral membrane protein, TIGR00529 family_"	hypoth_equivalog	
TIGR00530	176	Fatty acid and phospholipid metabolism	Biosynthesis	AGP_acyltrn	1-acylglycerol-3-phosphate O-acyltransferases	subfamily_domain	2.3.1.51
TIGR00531	176	Fatty acid and phospholipid metabolism	Biosynthesis	BCCP	"_acetyl-CoA carboxylase, biotin carboxyl carrier protein_"	equivalog	
TIGR00532	184	Energy metabolism	Other	HMG_CoA_R_NAD	"_hydroxymethylglutaryl-CoA reductase, degradative_"	equivalog	1.1.1.88
TIGR00533	102	Central intermediary metabolism	Other	HMG_CoA_R_NADP	hydroxymethylglutaryl-CoA reductase (NADPH)	equivalog_domain	1.1.1.34
TIGR00534	95	Protein fate	Protein folding and stabilization	OpcA	glucose-6-phosphate dehydrogenase assembly protein OpcA	equivalog	
TIGR00535	104	Central intermediary metabolism	Polyamine biosynthesis	SAM_DCase	S-adenosylmethionine decarboxylase proenzyme	equivalog	4.1.1.50
TIGR00536	140	Protein fate	Protein modification and repair	hemK_fam	"_methyltransferase, HemK family_"	subfamily	
TIGR00537	703	Unknown function	Enzymes of unknown specificity	hemK_rel_arch	putative methylase	hypoth_equivalog	
TIGR00538	79	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	hemN	oxygen-independent coproporphyrinogen III oxidase	equivalog	1.3.99.22
TIGR00539	79	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	hemN_rel	putative oxygen-independent coproporphyrinogen III oxidase	hypoth_equivalog	1.3.99.22
TIGR00540	157	Unknown function	General	TPR_hemY_coli	heme biosynthesis-associated TPR protein	hypoth_equivalog	
TIGR00541	109	Energy metabolism	Amino acids and amines	hisDCase_pyru	"_histidine decarboxylase, pyruvoyl type_"	equivalog	4.1.1.22
TIGR00542	119	Energy metabolism	Sugars	hxl6Piso_put	putative hexulose-6-phosphate isomerase	hypoth_equivalog	
TIGR00543	81	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Menaquinone and ubiquinone	isochor_syn	isochorismate synthase	subfamily	5.4.4.2
TIGR00544	140	Protein fate	Protein modification and repair	lgt	prolipoprotein diacylglyceryl transferase	equivalog	2.4.99.-
TIGR00545	140	Protein fate	Protein modification and repair	lipoyltrans	lipoyltransferase and lipoate-protein ligase	subfamily	
TIGR00546	140	Protein fate	Protein modification and repair	lnt	apolipoprotein N-acyltransferase	equivalog	2.3.1.-
TIGR00547	97	Protein fate	Protein and peptide secretion and trafficking	lolA	outer membrane lipoprotein carrier protein LolA	equivalog	
TIGR00548	97	Protein fate	Protein and peptide secretion and trafficking	lolB	outer membrane lipoprotein LolB	equivalog	
TIGR00549	102	Central intermediary metabolism	Other	mevalon_kin	mevalonate kinase	equivalog	2.7.1.36
TIGR00550	163	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridine nucleotides	nadA	"_quinolinate synthetase complex, A subunit_"	equivalog	2.5.1.72
TIGR00551	163	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridine nucleotides	nadB	L-aspartate oxidase	equivalog	1.4.3.16
TIGR00552	163	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridine nucleotides	nadE	NAD+ synthetase	equivalog_domain	6.3.1.5
TIGR00553	78	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	pabB	"_aminodeoxychorismate synthase, component I_"	equivalog	2.6.1.85
TIGR00554	83	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pantothenate and coenzyme A	panK_bact	pantothenate kinase	equivalog	2.7.1.33
TIGR00555	83	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pantothenate and coenzyme A	panK_eukar	pantothenate kinase	equivalog	2.7.1.33
TIGR00556	140	Protein fate	Protein modification and repair	pantethn_trn	phosphopantetheine--protein transferase domain	domain	
TIGR00557	84	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridoxine	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase PdxA	equivalog	1.1.1.262
TIGR00558	84	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridoxine	pdxH	pyridoxamine 5`-phosphate oxidase	equivalog	1.4.3.5
TIGR00559	84	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridoxine	pdxJ	pyridoxine 5`-phosphate synthase	equivalog	2.6.99.2
TIGR00560	176	Fatty acid and phospholipid metabolism	Biosynthesis	pgsA	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	equivalog	2.7.8.5
TIGR00561	112	Energy metabolism	Electron transport	pntA	"_NAD(P)(+) transhydrogenase (AB-specific), alpha subunit_"	equivalog	1.6.1.2
TIGR00562	79	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	proto_IX_ox	protoporphyrinogen oxidase	equivalog	1.3.3.4
TIGR00563	168	Protein synthesis	tRNA and rRNA base modification	rsmB	16S rRNA (cytosine(967)-C(5))-methyltransferase	equivalog	2.1.1.176
TIGR00564	70	Amino acid biosynthesis	Aromatic amino acid family	trpE_most	anthranilate synthase component I	equivalog	4.1.3.27
TIGR00565	70	Amino acid biosynthesis	Aromatic amino acid family	trpE_proteo	anthranilate synthase component I	equivalog	4.1.3.27
TIGR00567	132	DNA metabolism	"DNA replication, recombination, and repair"	3mg	DNA-3-methyladenine glycosylase	subfamily	3.2.2.-
TIGR00568	132	DNA metabolism	"DNA replication, recombination, and repair"	alkb	alkylated DNA repair protein AlkB	equivalog	
TIGR00569	132	DNA metabolism	"DNA replication, recombination, and repair"	ccl1	cyclin ccl1	subfamily	
TIGR00570	132	DNA metabolism	"DNA replication, recombination, and repair"	cdk7	CDK-activating kinase assembly factor MAT1	equivalog	
TIGR00571	132	DNA metabolism	"DNA replication, recombination, and repair"	dam	DNA adenine methylase	subfamily	2.1.1.72
TIGR00573	131	DNA metabolism	Degradation of DNA	dnaq	"_exonuclease, DNA polymerase III, epsilon subunit family_"	subfamily_domain	2.7.7.7
TIGR00574	132	DNA metabolism	"DNA replication, recombination, and repair"	dnl1	"_DNA ligase I, ATP-dependent (dnl1)_"	superfamily	6.5.1.1
TIGR00575	132	DNA metabolism	"DNA replication, recombination, and repair"	dnlj	"_DNA ligase, NAD-dependent_"	equivalog	6.5.1.2
TIGR00576	123	"Purines, pyrimidines, nucleosides, and nucleotides"	2`-Deoxyribonucleotide metabolism	dut	dUTP diphosphatase	superfamily	3.6.1.23
TIGR00577	132	DNA metabolism	"DNA replication, recombination, and repair"	fpg	DNA-formamidopyrimidine glycosylase	equivalog	3.2.2.23
TIGR00578	132	DNA metabolism	"DNA replication, recombination, and repair"	ku70	"_ATP-dependent DNA helicase II, 70 kDa subunit (ku70)_"	superfamily	
TIGR00580	132	DNA metabolism	"DNA replication, recombination, and repair"	mfd	transcription-repair coupling factor	equivalog	3.6.1.-
TIGR00581	82	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Molybdopterin	moaC	molybdenum cofactor biosynthesis protein C	equivalog	
TIGR00583	132	DNA metabolism	"DNA replication, recombination, and repair"	mre11	DNA repair protein (mre11)	equivalog	
TIGR00584	132	DNA metabolism	"DNA replication, recombination, and repair"	mug	mismatch-specific thymine-DNA glycosylate (mug)	subfamily	3.2.2.-
TIGR00585	132	DNA metabolism	"DNA replication, recombination, and repair"	mutl	DNA mismatch repair protein MutL	superfamily	
TIGR00586	132	DNA metabolism	"DNA replication, recombination, and repair"	mutt	mutator mutT protein	subfamily	3.6.1.-
TIGR00587	132	DNA metabolism	"DNA replication, recombination, and repair"	nfo	apurinic endonuclease (APN1)	subfamily	
TIGR00588	132	DNA metabolism	"DNA replication, recombination, and repair"	ogg	8-oxoguanine DNA-glycosylase (ogg)	subfamily	3.2.2.-
TIGR00589	132	DNA metabolism	"DNA replication, recombination, and repair"	ogt	methylated-DNA--[protein]-cysteine S-methyltransferase	superfamily	2.1.1.63
TIGR00590	132	DNA metabolism	"DNA replication, recombination, and repair"	pcna	proliferating cell nuclear antigen (pcna)	equivalog	
TIGR00591	132	DNA metabolism	"DNA replication, recombination, and repair"	phr2	deoxyribodipyrimidine photolyase	superfamily	4.1.99.3
TIGR00592	132	DNA metabolism	"DNA replication, recombination, and repair"	pol2	DNA polymerase (pol2)	superfamily	2.7.7.7
TIGR00593	132	DNA metabolism	"DNA replication, recombination, and repair"	pola	DNA polymerase I	equivalog	2.7.7.7
TIGR00594	132	DNA metabolism	"DNA replication, recombination, and repair"	polc	"_DNA polymerase III, alpha subunit_"	superfamily	2.7.7.7
TIGR00595	132	DNA metabolism	"DNA replication, recombination, and repair"	priA	primosomal protein N`	equivalog	3.6.1.-
TIGR00596	132	DNA metabolism	"DNA replication, recombination, and repair"	rad1	DNA repair protein (rad1)	subfamily	
TIGR00597	132	DNA metabolism	"DNA replication, recombination, and repair"	rad10	DNA repair protein rad10	subfamily	
TIGR00598	132	DNA metabolism	"DNA replication, recombination, and repair"	rad14	DNA repair protein	equivalog	
TIGR00599	132	DNA metabolism	"DNA replication, recombination, and repair"	rad18	DNA repair protein rad18	equivalog	
TIGR00600	132	DNA metabolism	"DNA replication, recombination, and repair"	rad2	DNA excision repair protein (rad2)	subfamily	
TIGR00601	132	DNA metabolism	"DNA replication, recombination, and repair"	rad23	UV excision repair protein Rad23	equivalog	
TIGR00602	132	DNA metabolism	"DNA replication, recombination, and repair"	rad24	checkpoint protein rad24	subfamily	
TIGR00603	132	DNA metabolism	"DNA replication, recombination, and repair"	rad25	DNA repair helicase rad25	subfamily	3.6.4.12
TIGR00604	132	DNA metabolism	"DNA replication, recombination, and repair"	rad3	DNA repair helicase (rad3)	subfamily	3.6.4.-
TIGR00605	132	DNA metabolism	"DNA replication, recombination, and repair"	rad4	DNA repair protein rad4	subfamily	
TIGR00607	132	DNA metabolism	"DNA replication, recombination, and repair"	rad52	recombination protein rad52	subfamily	
TIGR00608	132	DNA metabolism	"DNA replication, recombination, and repair"	radc	DNA repair protein RadC	superfamily	
TIGR00609	132	DNA metabolism	"DNA replication, recombination, and repair"	recB	"_exodeoxyribonuclease V, beta subunit_"	equivalog	3.1.11.5
TIGR00611	132	DNA metabolism	"DNA replication, recombination, and repair"	recf	DNA replication and repair protein RecF	subfamily	
TIGR00612	76	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	ispG_gcpE	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	equivalog	1.17.7.1
TIGR00613	132	DNA metabolism	"DNA replication, recombination, and repair"	reco	DNA repair protein RecO	equivalog	
TIGR00614	132	DNA metabolism	"DNA replication, recombination, and repair"	recQ_fam	"_ATP-dependent DNA helicase, RecQ family_"	subfamily	3.6.4.12
TIGR00615	132	DNA metabolism	"DNA replication, recombination, and repair"	recR	recombination protein RecR	equivalog	
TIGR00616	152	Mobile and extrachromosomal element functions	Prophage functions	rect	"_recombinase, phage RecT family_"	subfamily	
TIGR00617	132	DNA metabolism	"DNA replication, recombination, and repair"	rpa1	replication factor-a protein 1 (rpa1)	subfamily	
TIGR00618	132	DNA metabolism	"DNA replication, recombination, and repair"	sbcc	exonuclease SbcC	subfamily	
TIGR00619	132	DNA metabolism	"DNA replication, recombination, and repair"	sbcd	"_exonuclease SbcCD, D subunit_"	subfamily	
TIGR00621	132	DNA metabolism	"DNA replication, recombination, and repair"	ssb	single-stranded DNA-binding protein	subfamily	
TIGR00622	132	DNA metabolism	"DNA replication, recombination, and repair"	ssl1	transcription factor ssl1	subfamily	
TIGR00623	132	DNA metabolism	"DNA replication, recombination, and repair"	sula	cell division inhibitor SulA	subfamily	
TIGR00624	132	DNA metabolism	"DNA replication, recombination, and repair"	tag	DNA-3-methyladenine glycosylase I	subfamily	3.2.2.20
TIGR00625	132	DNA metabolism	"DNA replication, recombination, and repair"	tfb2	transcription factor Tfb2	subfamily	
TIGR00627	132	DNA metabolism	"DNA replication, recombination, and repair"	tfb4	transcription factor tfb4	subfamily	
TIGR00628	132	DNA metabolism	"DNA replication, recombination, and repair"	ung	uracil-DNA glycosylase	equivalog	3.2.2.27
TIGR00629	132	DNA metabolism	"DNA replication, recombination, and repair"	uvde	UV damage endonuclease UvdE	equivalog	3.-.-.-
TIGR00630	132	DNA metabolism	"DNA replication, recombination, and repair"	uvra	excinuclease ABC subunit A	equivalog	3.1.25.-
TIGR00631	132	DNA metabolism	"DNA replication, recombination, and repair"	uvrb	excinuclease ABC subunit B	equivalog	3.1.25.-
TIGR00632	132	DNA metabolism	"DNA replication, recombination, and repair"	vsr	DNA mismatch endonuclease Vsr	subfamily	3.1.-.-
TIGR00633	132	DNA metabolism	"DNA replication, recombination, and repair"	xth	exodeoxyribonuclease III (xth)	subfamily	3.1.11.2
TIGR00634	132	DNA metabolism	"DNA replication, recombination, and repair"	recN	DNA repair protein RecN	equivalog	
TIGR00635	132	DNA metabolism	"DNA replication, recombination, and repair"	ruvB	Holliday junction DNA helicase RuvB	equivalog	3.6.4.12
TIGR00636	79	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	PduO_Nterm	ATP:cob(I)alamin adenosyltransferase	equivalog_domain	2.5.1.17
TIGR00637	129	Regulatory functions	Other	ModE_repress	ModE molybdate transport repressor domain	subfamily_domain	
TIGR00638	143	Transport and binding proteins	Anions	Mop	molybdenum-pterin binding domain	subfamily_domain	
TIGR00639	125	"Purines, pyrimidines, nucleosides, and nucleotides"	Purine ribonucleotide biosynthesis	PurN	phosphoribosylglycinamide formyltransferase	equivalog	2.1.2.2
TIGR00642	102	Central intermediary metabolism	Other	mmCoA_mut_beta	"_methylmalonyl-CoA mutase, small subunit_"	equivalog	5.4.99.2
TIGR00643	132	DNA metabolism	"DNA replication, recombination, and repair"	recG	ATP-dependent DNA helicase RecG	equivalog	3.6.4.12
TIGR00644	132	DNA metabolism	"DNA replication, recombination, and repair"	recJ	single-stranded-DNA-specific exonuclease RecJ	equivalog	3.1.-.-
TIGR00645	156	Hypothetical proteins	Conserved	HI0507	TIGR00645 family protein	hypoth_equivalog	
TIGR00646	157	Unknown function	General	MG010	DNA primase-like protein	hypoth_equivalog	
TIGR00647	93	Cellular processes	Cell division	DNA_bind_WhiA	DNA-binding protein WhiA	equivalog	
TIGR00648	132	DNA metabolism	"DNA replication, recombination, and repair"	recU	recombination protein U	equivalog	3.1.-.-
TIGR00649	134	Transcription	Degradation of RNA	MG423	"_beta-CASP ribonuclease, RNase J family_"	subfamily	3.1.-.-
TIGR00651	114	Energy metabolism	Fermentation	pta	phosphate acetyltransferase	equivalog	2.3.1.8
TIGR00652	71	Amino acid biosynthesis	Aspartate family	DapF	diaminopimelate epimerase	equivalog	5.1.1.7
TIGR00653	73	Amino acid biosynthesis	Glutamate family	GlnA	"_glutamine synthetase, type I_"	equivalog	6.3.1.2
TIGR00654	94	Cellular processes	Toxin production and resistance	PhzF_family	"_phenazine biosynthesis protein, PhzF family_"	subfamily	
TIGR00655	125	"Purines, pyrimidines, nucleosides, and nucleotides"	Purine ribonucleotide biosynthesis	PurU	formyltetrahydrofolate deformylase	equivalog	3.5.1.10
TIGR00656	71	Amino acid biosynthesis	Aspartate family	asp_kin_monofn	"_aspartate kinase, monofunctional class_"	equivalog	2.7.2.4
TIGR00657	71	Amino acid biosynthesis	Aspartate family	asp_kinases	aspartate kinase	subfamily_domain	2.7.2.4
TIGR00658	73	Amino acid biosynthesis	Glutamate family	orni_carb_tr	ornithine carbamoyltransferase	equivalog	2.1.3.3
